instance,new_cost,new_provisioned_gb,new_usage_gb,old_cost,old_provisioned_gb,old_usage_gb,cost_diff,provisioned_diff,usage_diff,storage_type,billing_model,optimization_note
17.0.0,3.51,2,0.00,3.53,2,0.00,-0.02,-0,0.00,VM_Disk,Provisioned,Low impact
CQFstorage_OsDisk_1_b6acf1bf9d40428a93d6bf79a0279d86,160.56,1024,0.00,160.58,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfstorageDataDisk,141.07,1024,0.00,141.10,1024,0.00,-0.03,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
11.0.0,3.92,3,0.00,3.95,3,0.00,-0.03,-0,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_cqconnect-prod-01-blue_1090717359718657,1.44,32,0.00,1.46,32,0.00,-0.03,0,0.00,VM_Disk,Provisioned,Low impact
msp-db01-datadisk1,38.07,256,0.00,38.09,256,0.00,-0.03,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
12.0.0,4.16,3,0.00,4.19,3,0.00,-0.03,-0,0.00,VM_Disk,Provisioned,Low impact
13.0.0,4.30,3,0.00,4.33,3,0.00,-0.03,-0,0.00,VM_Disk,Provisioned,Low impact
plunet-db-backups,259.04,2048,0.00,259.07,2048,0.00,-0.03,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
RDS02-OS-Drive,259.03,2048,0.00,259.07,2048,0.00,-0.04,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
cqconnect-msp-01_disk1_a403dec14d394e7ca332d2e7f9f5b8b5,259.03,2048,0.00,259.07,2048,0.00,-0.04,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
RDSH10-OSdisk0,259.03,2048,0.00,259.07,2048,0.00,-0.04,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
RDSH11rdsh11-OSdisk0,259.03,2048,0.00,259.07,2048,0.00,-0.04,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
sftp01_OsDisk_1_198b8c70b36344df9d65589a48d530a6,73.63,512,0.00,73.67,512,0.00,-0.04,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
pvc-bd648493-3133-424b-93a1-713b0b987821,3.60,32,0.00,3.64,512,0.00,-0.04,-480,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-110-osdisk,12.33,128,0.00,12.39,128,0.00,-0.05,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH20-OSdisk0,20.29,128,0.00,20.35,128,0.00,-0.06,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
